"postcode","suburb","state","latitude","longitude"
"3030","Quandong","VIC","-37.97","144.58"
"3030","Werribee","VIC","-37.97","144.58"
"3030","Werribee South","VIC","-37.97","144.58"
"3031","Flemington","VIC","-37.79","144.93"
"3031","Kensington","VIC","-37.79","144.93"
"3032","Ascot Vale","VIC","-37.78","144.92"
"3032","Highpoint City","VIC","-37.78","144.92"
"3032","Maribyrnong","VIC","-37.78","144.92"
"3032","Travancore","VIC","-37.78","144.92"
"3033","Keilor East","VIC","-37.74","144.8"
"3034","Avondale Heights","VIC","-37.74","144.82"
"3036","Keilor","VIC","-37.72","144.83"
"3036","Keilor North","VIC","-37.72","144.83"
"3037","Calder Park","VIC","-37.72","144.78"
"3037","Delahey","VIC","-37.72","144.78"
"3037","Hillside","VIC","-37.72","144.78"
"3037","Sydenham","VIC","-37.72","144.78"
"3037","Taylors Hill","VIC","-37.72","144.78"
"3038","Keilor Downs","VIC","-37.73","144.81"
"3038","Keilor Lodge","VIC","-37.73","144.81"
"3038","Taylors Lakes","VIC","-37.73","144.81"
"3038","Watergardens","VIC","-37.73","144.81"
"3039","Moonee Ponds","VIC","-37.77","144.92"
"3040","Aberfeldie","VIC","-37.76","144.9"
"3040","Essendon","VIC","-37.76","144.9"
"3040","Essendon West","VIC","-37.76","144.9"
"3041","Essendon Fields","VIC","-37.74","144.91"
"3041","Essendon North","VIC","-37.74","144.91"
"3041","Strathmore","VIC","-37.74","144.91"
"3041","Strathmore Heights","VIC","-37.74","144.91"
"3042","Airport West","VIC","-37.71","144.89"
"3042","Keilor Park","VIC","-37.71","144.89"
"3042","Niddrie","VIC","-37.71","144.89"
"3043","Gladstone Park","VIC","-37.69","144.88"
"3043","Gowanbrae","VIC","-37.69","144.88"
"3043","Tullamarine","VIC","-37.69","144.88"
"3044","Pascoe Vale","VIC","-37.73","144.94"
"3044","Pascoe Vale South","VIC","-37.73","144.94"
"3045","Melbourne Airport","VIC","-37.67","144.83"
"3046","Glenroy","VIC","-37.7","144.92"
"3046","Hadfield","VIC","-37.7","144.92"
"3046","Oak Park","VIC","-37.7","144.92"
"3047","Broadmeadows","VIC","-37.68","144.92"
"3047","Dallas","VIC","-37.68","144.92"
"3047","Jacana","VIC","-37.68","144.92"
"3048","Coolaroo","VIC","-37.65","144.93"
"3048","Meadow Heights","VIC","-37.65","144.93"
"3049","Attwood","VIC","-37.67","144.89"
"3049","Westmeadows","VIC","-37.67","144.89"
"3050","Royal Melbourne Hospital","VIC","-37.8","144.96"
"3051","Hotham Hill","VIC","-37.91","145.06"
"3051","North Melbourne","VIC","-37.91","145.06"
"3052","Melbourne University","VIC","-37.8","144.96"
"3052","Parkville","VIC","-37.8","144.96"
"3053","Carlton","VIC","-37.78","144.97"
"3053","Carlton South","VIC","-37.78","144.97"
"3054","Carlton North","VIC","-37.78","144.97"
"3054","Princes Hill","VIC","-37.78","144.97"
"3055","Brunswick South","VIC","-37.77","144.94"
"3055","Brunswick West","VIC","-37.77","144.94"
"3055","Moonee Vale","VIC","-37.77","144.94"
"3055","Moreland West","VIC","-37.77","144.94"
"3056","Brunswick","VIC","-37.76","144.94"
"3056","Brunswick Lower","VIC","-37.76","144.94"
"3056","Brunswick North","VIC","-37.76","144.94"
"3057","Brunswick East","VIC","-37.76","144.98"
"3057","Lygon Street North","VIC","-37.76","144.98"
"3057","Sumner","VIC","-37.76","144.98"
"3058","Batman","VIC","-37.73","144.96"
"3058","Coburg","VIC","-37.73","144.96"
"3058","Coburg North","VIC","-37.73","144.96"
"3058","Merlynston","VIC","-37.73","144.96"
"3058","Moreland","VIC","-37.73","144.96"
"3059","Greenvale","VIC","-37.64","144.89"
"3060","Fawkner","VIC","-37.76","144.9"
"3060","Fawkner East","VIC","-37.76","144.9"
"3060","Fawkner North","VIC","-37.76","144.9"
"3061","Campbellfield","VIC","-37.64","144.95"
"3062","Somerton","VIC","-37.64","144.94"
"3063","Oaklands Junction","VIC","-37.63","144.84"
"3063","Yuroke","VIC","-37.63","144.84"
"3064","Craigieburn","VIC","-37.6","144.94"
"3064","Donnybrook","VIC","-37.6","144.94"
"3064","Kalkallo","VIC","-37.6","144.94"
"3064","Mickleham","VIC","-37.6","144.94"
"3064","Roxburgh Park","VIC","-37.6","144.94"
"3065","Fitzroy","VIC","-37.8","144.98"
"3066","Collingwood","VIC","-37.8","144.98"
"3066","Collingwood North","VIC","-37.8","144.98"
"3067","Abbotsford","VIC","-37.8","145"
"3068","Clifton Hill","VIC","-37.79","144.99"
"3068","Fitzroy North","VIC","-37.79","144.99"
"3070","Northcote","VIC","-37.77","145"
"3070","Northcote South","VIC","-37.77","145"
"3071","Thornbury","VIC","-37.76","145"
"3072","Gilberton","VIC","-37.74","145.03"
"3072","Northland Centre","VIC","-37.74","145.03"
"3072","Preston","VIC","-37.74","145.03"
"3072","Preston Lower","VIC","-37.74","145.03"
"3072","Preston South","VIC","-37.74","145.03"
"3072","Preston West","VIC","-37.74","145.03"
"3072","Regent West","VIC","-37.74","145.03"
"3073","Keon Park","VIC","-37.69","145.01"
"3073","Reservoir","VIC","-37.69","145.01"
"3073","Reservoir East","VIC","-37.69","145.01"
"3073","Reservoir North","VIC","-37.69","145.01"
"3073","Reservoir South","VIC","-37.69","145.01"
"3074","Thomastown","VIC","-37.68","145.01"
"3075","Lalor","VIC","-37.67","145.02"
"3075","Lalor Plaza","VIC","-37.67","145.02"
"3076","Epping","VIC","-37.64","145.01"
"3076","Epping DC","VIC","-37.64","145.01"
"3078","Alphington","VIC","-37.78","145.03"
"3078","Fairfield","VIC","-37.78","145.03"
"3079","Ivanhoe","VIC","-37.77","145.04"
"3079","Ivanhoe East","VIC","-37.77","145.04"
"3079","Ivanhoe North","VIC","-37.77","145.04"
"3081","Bellfield","VIC","-37.75","145.05"
"3081","Heidelberg Heights","VIC","-37.75","145.05"
"3081","Heidelberg Rgh","VIC","-37.75","145.05"
"3081","Heidelberg West","VIC","-37.75","145.05"
"3082","Mill Park","VIC","-37.67","145.06"
"3083","Bundoora","VIC","-37.7","145.07"
"3083","Kingsbury","VIC","-37.7","145.07"
"3083","La Trobe University","VIC","-37.7","145.07"
"3084","Banyule","VIC","-37.74","145.09"
"3084","Eaglemont","VIC","-37.74","145.09"
"3084","Heidelberg","VIC","-37.74","145.09"
"3084","Rosanna","VIC","-37.74","145.09"
"3084","Viewbank","VIC","-37.74","145.09"
"3085","Macleod","VIC","-37.73","145.07"
"3085","Macleod West","VIC","-37.73","145.07"
"3085","Yallambie","VIC","-37.73","145.07"
"3086","La Trobe University","VIC","-37.72","145.05"
"3087","Watsonia","VIC","-37.71","145.08"
"3087","Watsonia North","VIC","-37.71","145.08"
"3088","Briar Hill","VIC","-37.71","145.12"
"3088","Greensborough","VIC","-37.71","145.12"
"3088","St Helena","VIC","-37.71","145.12"
"3089","Diamond Creek","VIC","-37.64","145.22"
"3090","Plenty","VIC","-37.67","145.12"
"3091","Yarrambat","VIC","-37.64","145.13"
"3093","Lower Plenty","VIC","-37.73","145.09"
"3094","Montmorency","VIC","-37.72","145.12"
"3095","Eltham","VIC","-37.71","145.15"
"3095","Eltham North","VIC","-37.71","145.15"
"3095","Research","VIC","-37.71","145.15"
"3096","Wattle Glen","VIC","-37.67","145.19"
"3097","Bend Of Islands","VIC","-37.7","145.28"
"3097","Kangaroo Ground","VIC","-37.7","145.28"
"3097","Watsons Creek","VIC","-37.7","145.28"
"3099","Arthurs Creek","VIC","-37.59","145.22"
"3099","Cottles Bridge","VIC","-37.59","145.22"
"3099","Hurstbridge","VIC","-37.59","145.22"
"3099","Nutfield","VIC","-37.59","145.22"
"3099","Strathewen","VIC","-37.59","145.22"
"3101","Cotham","VIC","-37.81","145.04"
"3101","Kew","VIC","-37.81","145.04"
"3102","Kew East","VIC","-37.8","145.05"
"3103","Balwyn","VIC","-37.81","145.08"
"3103","Balwyn East","VIC","-37.81","145.08"
"3104","Balwyn North","VIC","-37.79","145.07"
"3104","Greythorn","VIC","-37.79","145.07"
"3105","Bulleen","VIC","-37.77","145.08"
"3105","Bulleen South","VIC","-37.77","145.08"
"3106","Templestowe","VIC","-37.77","145.12"
"3107","Templestowe Lower","VIC","-37.76","145.1"
"3108","Doncaster","VIC","-37.78","145.12"
"3109","Doncaster East","VIC","-37.81","145.19"
"3109","Doncaster Heights","VIC","-37.81","145.19"
"3109","The Pines","VIC","-37.81","145.19"
"3109","Tunstall Square Po","VIC","-37.81","145.19"
"3110","Nunawading BC","VIC","0","0"
"3111","Donvale","VIC","-38.18","144.47"
"3113","North Warrandyte","VIC","-37.73","145.22"
"3113","Warrandyte","VIC","-37.73","145.22"
"3114","Park Orchards","VIC","-37.78","145.21"
"3115","Wonga Park","VIC","-37.74","145.27"
"3116","Chirnside Park","VIC","-37.75","145.33"
"3121","Burnley","VIC","-37.83","145.01"
"3121","Burnley North","VIC","-37.83","145.01"
"3121","Cremorne","VIC","-37.83","145.01"
"3121","Richmond","VIC","-37.83","145.01"
"3121","Richmond East","VIC","-37.83","145.01"
"3121","Richmond North","VIC","-37.83","145.01"
"3121","Richmond South","VIC","-37.83","145.01"
"3122","Auburn South","VIC","-37.84","145.05"
"3122","Glenferrie South","VIC","-37.84","145.05"
"3122","Hawthorn","VIC","-37.84","145.05"
"3122","Hawthorn North","VIC","-37.84","145.05"
"3122","Hawthorn West","VIC","-37.84","145.05"
"3123","Auburn","VIC","-37.83","145.04"
"3123","Hawthorn East","VIC","-37.83","145.04"
"3124","Camberwell","VIC","-37.82","145.06"
"3124","Camberwell North","VIC","-37.82","145.06"
"3124","Camberwell South","VIC","-37.82","145.06"
"3124","Camberwell West","VIC","-37.82","145.06"
"3124","Hartwell","VIC","-37.82","145.06"
"3124","Middle Camberwell","VIC","-37.82","145.06"
"3125","Bennettswood","VIC","-37.84","145.12"
"3125","Burwood","VIC","-37.84","145.12"
"3125","Surrey Hills South","VIC","-37.84","145.12"
"3126","Camberwell East","VIC","-37.84","145.09"
"3126","Canterbury","VIC","-37.84","145.09"
"3127","Mont Albert","VIC","-37.82","145.1"
"3127","Surrey Hills","VIC","-37.82","145.1"
"3127","Surrey Hills North","VIC","-37.82","145.1"
"3128","Box Hill","VIC","-37.82","145.12"
"3128","Box Hill Central","VIC","-37.82","145.12"
"3128","Box Hill South","VIC","-37.82","145.12"
"3128","Houston","VIC","-37.82","145.12"
"3128","Wattle Park","VIC","-37.82","145.12"
"3129","Box Hill North","VIC","-37.8","145.13"
"3129","Kerrimuir","VIC","-37.8","145.13"
"3129","Mont Albert North","VIC","-37.8","145.13"
"3130","Blackburn","VIC","-37.82","145.15"
"3130","Blackburn North","VIC","-37.82","145.15"
"3130","Blackburn South","VIC","-37.82","145.15"
"3130","Laburnum","VIC","-37.82","145.15"
"3131","Brentford Square","VIC","-37.84","145.18"
"3131","Forest Hill","VIC","-37.84","145.18"
"3131","Nunawading","VIC","-37.84","145.18"
"3132","Mitcham","VIC","-37.82","145.19"
"3132","Mitcham North","VIC","-37.82","145.19"
"3132","Rangeview","VIC","-37.82","145.19"
"3133","Vermont","VIC","-37.84","145.19"
"3133","Vermont South","VIC","-37.84","145.19"
"3134","Heathwood","VIC","-37.81","145.23"
"3134","Ringwood","VIC","-37.81","145.23"
"3134","Ringwood North","VIC","-37.81","145.23"
"3134","Warrandyte South","VIC","-37.81","145.23"
"3134","Warranwood","VIC","-37.81","145.23"
"3135","Bedford Road","VIC","-37.82","145.25"
"3135","Heathmont","VIC","-37.82","145.25"
"3135","Ringwood East","VIC","-37.82","145.25"
"3136","Croydon","VIC","-37.8","145.28"
"3136","Croydon Hills","VIC","-37.8","145.28"
"3136","Croydon North","VIC","-37.8","145.28"
"3136","Croydon South","VIC","-37.8","145.28"
"3137","Kilsyth","VIC","-37.8","145.31"
"3137","Kilsyth South","VIC","-37.8","145.31"
"3138","Mooroolbark","VIC","-37.77","145.33"
"3139","Beenak","VIC","-37.8","145.54"
"3139","Don Valley","VIC","-37.8","145.54"
"3139","Hoddles Creek","VIC","-37.8","145.54"
"3139","Launching Place","VIC","-37.8","145.54"
"3139","Seville","VIC","-37.8","145.54"
"3139","Seville East","VIC","-37.8","145.54"
"3139","Wandin East","VIC","-37.8","145.54"
"3139","Wandin North","VIC","-37.8","145.54"
"3139","Woori Yallock","VIC","-37.8","145.54"
"3139","Yellingbo","VIC","-37.8","145.54"
"3140","Lilydale","VIC","-37.76","145.35"
"3141","Chapel Street North","VIC","-36.99","144.06"
"3141","Domain Road Po","VIC","-36.99","144.06"
"3141","South Yarra","VIC","-36.99","144.06"
"3142","Hawksburn","VIC","-37.84","145"
"3142","Toorak","VIC","-37.84","145"
"3143","Armadale","VIC","-37.86","145.02"
"3143","Armadale North","VIC","-37.86","145.02"
"3144","Kooyong","VIC","-37.84","145.03"
"3144","Malvern","VIC","-37.84","145.03"
"3144","Malvern North","VIC","-37.84","145.03"
"3145","Caulfield East","VIC","-37.88","145.04"
"3145","Central Park","VIC","-37.88","145.04"
"3145","Darling","VIC","-37.88","145.04"
"3145","Darling South","VIC","-37.88","145.04"
"3145","Malvern East","VIC","-37.88","145.04"
"3145","Wattletree Road Po","VIC","-37.88","145.04"
"3146","Glen Iris","VIC","-37.85","145.07"
"3147","Ashburton","VIC","-37.86","145.08"
"3147","Ashwood","VIC","-37.86","145.08"
"3148","Chadstone","VIC","-37.89","145.08"
"3148","Chadstone Centre","VIC","-37.89","145.08"
"3148","Holmesglen","VIC","-37.89","145.08"
"3148","Jordanville","VIC","-37.89","145.08"
"3149","Mount Waverley","VIC","-37.88","145.13"
"3149","Pinewood","VIC","-37.88","145.13"
"3149","Syndal","VIC","-37.88","145.13"
"3150","Brandon Park","VIC","-37.88","145.17"
"3150","Glen Waverley","VIC","-37.88","145.17"
"3150","Wheelers Hill","VIC","-37.88","145.17"
"3151","Burwood East","VIC","-37.86","145.14"
"3151","Burwood Heights","VIC","-37.86","145.14"
"3152","Knox City Centre","VIC","-37.87","145.24"
"3152","Studfield","VIC","-37.87","145.24"
"3152","Wantirna","VIC","-37.87","145.24"
"3152","Wantirna South","VIC","-37.87","145.24"
"3153","Bayswater","VIC","-37.84","145.27"
"3153","Bayswater North","VIC","-37.84","145.27"
"3154","The Basin","VIC","-37.85","145.31"
"3155","Boronia","VIC","-37.86","145.28"
"3156","Ferntree Gully","VIC","-37.88","145.3"
"3156","Lysterfield","VIC","-37.88","145.3"
"3156","Lysterfield South","VIC","-37.88","145.3"
"3156","Mountain Gate","VIC","-37.88","145.3"
"3156","Upper Ferntree Gully","VIC","-37.88","145.3"
"3158","Upwey","VIC","-37.9","145.33"
"3159","Menzies Creek","VIC","-37.92","145.4"
"3159","Selby","VIC","-37.92","145.4"
"3160","Belgrave","VIC","-37.91","145.36"
"3160","Belgrave Heights","VIC","-37.91","145.36"
"3160","Belgrave South","VIC","-37.91","145.36"
"3160","Tecoma","VIC","-37.91","145.36"
"3161","Caulfield Junction","VIC","-38.03","145.31"
"3161","Caulfield North","VIC","-38.03","145.31"
"3162","Caulfield","VIC","-37.88","145.03"
"3162","Caulfield South","VIC","-37.88","145.03"
"3162","Hopetoun Gardens","VIC","-37.88","145.03"
"3163","Booran Road Po","VIC","-37.89","145.06"
"3163","Carnegie","VIC","-37.89","145.06"
"3163","Glen Huntly","VIC","-37.89","145.06"
"3163","Murrumbeena","VIC","-37.89","145.06"
"3164","Dandenong South","VIC","-38.02","145.24"
"3165","Bentleigh East","VIC","-37.93","145.06"
"3165","Coatesville","VIC","-37.93","145.06"
"3166","Hughesdale","VIC","-37.9","145.08"
"3166","Huntingdale","VIC","-37.9","145.08"
"3166","Oakleigh","VIC","-37.9","145.08"
"3166","Oakleigh East","VIC","-37.9","145.08"
"3167","Oakleigh South","VIC","-37.93","145.1"
"3168","Clayton","VIC","-37.93","145.12"
"3168","Notting Hill","VIC","-37.93","145.12"
"3169","Clarinda","VIC","-37.94","145.1"
"3169","Clayton South","VIC","-37.94","145.1"
"3170","Mulgrave","VIC","-37.87","145.1"
"3170","Waverley Gardens","VIC","-37.87","145.1"
"3171","Sandown Village","VIC","-37.95","145.16"
"3171","Springvale","VIC","-37.95","145.16"
"3172","Dingley Village","VIC","-37.97","145.12"
"3172","Springvale South","VIC","-37.97","145.12"
"3173","Keysborough","VIC","-37.99","145.15"
"3174","Noble Park","VIC","-37.97","145.18"
"3174","Noble Park East","VIC","-37.97","145.18"
"3174","Noble Park North","VIC","-37.97","145.18"
"3175","Bangholme","VIC","-38.03","145.18"
"3175","Dandenong","VIC","-38.03","145.18"
"3175","Dandenong East","VIC","-38.03","145.18"
"3175","Dandenong North","VIC","-38.03","145.18"
"3175","Dandenong Plaza","VIC","-38.03","145.18"
"3175","Dandenong South","VIC","-38.03","145.18"
"3175","Dunearn","VIC","-38.03","145.18"
"3176","Scoresby BC","VIC","0","0"
"3177","Doveton","VIC","-38","145.24"
"3177","Eumemmerring","VIC","-38","145.24"
"3178","Rowville","VIC","-37.93","145.24"
"3179","Scoresby","VIC","-37.86","145.26"
"3180","Knoxfield","VIC","-37.89","145.25"
"3181","Prahran","VIC","-37.85","144.99"
"3181","Prahran East","VIC","-37.85","144.99"
"3181","Windsor","VIC","-37.85","144.99"
"3182","St Kilda","VIC","-37.87","144.98"
"3182","St Kilda South","VIC","-37.87","144.98"
"3182","St Kilda West","VIC","-37.87","144.98"
"3183","Balaclava","VIC","-37.87","145"
"3183","St Kilda East","VIC","-37.87","145"
"3184","Brighton Road","VIC","-37.88","145"
"3184","Elwood","VIC","-37.88","145"
"3185","Elsternwick","VIC","-37.88","145"
"3185","Gardenvale","VIC","-37.88","145"
"3185","Ripponlea","VIC","-37.88","145"
"3186","Brighton","VIC","-37.91","144.99"
"3186","Brighton North","VIC","-37.91","144.99"
"3186","Dendy","VIC","-37.91","144.99"
"3186","Were Street Po","VIC","-37.91","144.99"
"3187","Brighton East","VIC","-37.9","145"
"3187","North Road","VIC","-37.9","145"
"3188","Hampton","VIC","-37.93","145.03"
"3188","Hampton East","VIC","-37.93","145.03"
"3188","Hampton North","VIC","-37.93","145.03"
"3189","Moorabbin","VIC","-37.93","145.04"
"3189","Moorabbin East","VIC","-37.93","145.04"
"3189","Wishart","VIC","-37.93","145.04"
"3190","Highett","VIC","-37.95","145.03"
"3191","Sandringham","VIC","-37.95","145.01"
"3192","Cheltenham","VIC","-37.96","145.06"
"3192","Cheltenham East","VIC","-37.96","145.06"
"3192","Cheltenham North","VIC","-37.96","145.06"
"3192","Southland Centre","VIC","-37.96","145.06"
"3193","Beaumaris","VIC","-37.99","145.03"
"3193","Black Rock","VIC","-37.99","145.03"
"3193","Black Rock North","VIC","-37.99","145.03"
"3193","Cromer","VIC","-37.99","145.03"
"3194","Mentone","VIC","-37.98","145.06"
"3194","Mentone East","VIC","-37.98","145.06"
"3194","Moorabbin Airport","VIC","-37.98","145.06"
"3195","Aspendale","VIC","-38.03","145.1"
"3195","Aspendale Gardens","VIC","-38.03","145.1"
"3195","Braeside","VIC","-38.03","145.1"
"3195","Mordialloc","VIC","-38.03","145.1"
"3195","Mordialloc North","VIC","-38.03","145.1"
"3195","Parkdale","VIC","-38.03","145.1"
"3195","Waterways","VIC","-38.03","145.1"
"3196","Bonbeach","VIC","-38.06","145.12"
"3196","Chelsea","VIC","-38.06","145.12"
"3196","Chelsea Heights","VIC","-38.06","145.12"
"3196","Edithvale","VIC","-38.06","145.12"
"3197","Carrum","VIC","-38.08","145.12"
"3197","Patterson Lakes","VIC","-38.08","145.12"
"3198","Belvedere Park","VIC","-38.11","145.16"
"3198","Seaford","VIC","-38.11","145.16"
"3199","Frankston","VIC","-38.15","145.12"
"3199","Frankston East","VIC","-38.15","145.12"
"3199","Frankston Heights","VIC","-38.15","145.12"
"3199","Frankston South","VIC","-38.15","145.12"
"3199","Karingal","VIC","-38.15","145.12"
"3199","Karingal Centre","VIC","-38.15","145.12"
"3200","Frankston North","VIC","-38.17","145.19"
"3200","Pines Forest","VIC","-38.17","145.19"
"3201","Carrum Downs","VIC","-38.09","145.19"
"3202","Heatherton","VIC","-37.97","145.21"
"3204","Bentleigh","VIC","-37.92","145.04"
"3204","Mckinnon","VIC","-37.92","145.04"
"3204","Ormond","VIC","-37.92","145.04"
"3204","Patterson","VIC","-37.92","145.04"
"3205","South Melbourne","VIC","-37.93","145.03"
"3205","South Melbourne DC","VIC","-37.93","145.03"
"3206","Albert Park","VIC","-37.84","144.96"
"3206","Middle Park","VIC","-37.84","144.96"
"3207","Garden City","VIC","-37.83","144.96"
"3207","Port Melbourne","VIC","-37.83","144.96"
"3211","Little River","VIC","-37.97","144.53"
"3212","Avalon","VIC","-38.02","144.41"
"3212","Lara","VIC","-38.02","144.41"
"3212","Point Wilson","VIC","-38.02","144.41"
"3214","Corio","VIC","-38.07","144.36"
"3214","Norlane","VIC","-38.07","144.36"
"3214","North Shore","VIC","-38.07","144.36"
"3215","Bell Park","VIC","-38.11","144.33"
"3215","Bell Post Hill","VIC","-38.11","144.33"
"3215","Drumcondra","VIC","-38.11","144.33"
"3215","Geelong North","VIC","-38.11","144.33"
"3215","Hamlyn Heights","VIC","-38.11","144.33"
"3215","North Geelong","VIC","-38.11","144.33"
"3215","Rippleside","VIC","-38.11","144.33"
"3216","Belmont","VIC","-38.18","144.34"
"3216","Freshwater Creek","VIC","-38.18","144.34"
"3216","Grovedale","VIC","-38.18","144.34"
"3216","Grovedale East","VIC","-38.18","144.34"
"3216","Highton","VIC","-38.18","144.34"
"3216","Marshall","VIC","-38.18","144.34"
"3216","Mount Duneed","VIC","-38.18","144.34"
"3216","Wandana Heights","VIC","-38.18","144.34"
"3216","Waurn Ponds","VIC","-38.18","144.34"
"3217","Deakin University","VIC","-38.2","144.3"
"3218","Geelong West","VIC","-38.14","144.35"
"3218","Herne Hill","VIC","-38.14","144.35"
"3218","Manifold Heights","VIC","-38.14","144.35"
"3219","Breakwater","VIC","-38.18","144.38"
"3219","East Geelong","VIC","-38.18","144.38"
"3219","Newcomb","VIC","-38.18","144.38"
"3219","St Albans Park","VIC","-38.18","144.38"
"3219","Thomson","VIC","-38.18","144.38"
"3219","Whittington","VIC","-38.18","144.38"
"3220","Bareena","VIC","-38.18","145.11"
"3220","Geelong","VIC","-38.18","145.11"
"3220","Newtown","VIC","-38.18","145.11"
"3220","South Geelong","VIC","-38.18","145.11"
"3221","Anakie","VIC","-37.9","144.25"
"3221","Barrabool","VIC","-37.9","144.25"
"3221","Batesford","VIC","-37.9","144.25"
"3221","Bellarine","VIC","-37.9","144.25"
"3221","Ceres","VIC","-37.9","144.25"
"3221","Fyansford","VIC","-37.9","144.25"
"3221","Geelong MC","VIC","-37.9","144.25"
"3221","Gnarwarre","VIC","-37.9","144.25"
"3221","Grey River","VIC","-37.9","144.25"
"3221","Kennett River","VIC","-37.9","144.25"
"3221","Lovely Banks","VIC","-37.9","144.25"
"3221","Moolap","VIC","-37.9","144.25"
"3221","Moorabool","VIC","-37.9","144.25"
"3221","Murgheboluc","VIC","-37.9","144.25"
"3221","Separation Creek","VIC","-37.9","144.25"
"3221","Staughton Vale","VIC","-37.9","144.25"
"3221","Stonehaven","VIC","-37.9","144.25"
"3221","Sugarloaf","VIC","-37.9","144.25"
"3221","Wallington","VIC","-37.9","144.25"
"3221","Wongarra","VIC","-37.9","144.25"
"3221","Wye River","VIC","-37.9","144.25"
"3222","Clifton Springs","VIC","-38.16","144.56"
"3222","Curlewis","VIC","-38.16","144.56"
"3222","Drysdale","VIC","-38.16","144.56"
"3222","Mannerim","VIC","-38.16","144.56"
"3222","Marcus Hill","VIC","-38.16","144.56"
"3223","Indented Head","VIC","-38.14","144.71"
"3223","Portarlington","VIC","-38.14","144.71"
"3223","St Leonards","VIC","-38.14","144.71"
"3224","Leopold","VIC","-38.18","144.46"
"3225","Point Lonsdale","VIC","-38.29","144.61"
"3225","Queenscliff","VIC","-38.29","144.61"
"3225","Swan Bay","VIC","-38.29","144.61"
"3225","Swan Island","VIC","-38.29","144.61"
"3226","Ocean Grove","VIC","-38.27","144.54"
"3227","Barwon Heads","VIC","-38.28","144.49"
"3227","Breamlea","VIC","-38.28","144.49"
"3227","Connewarre","VIC","-38.28","144.49"
"3228","Bellbrae","VIC","-38.33","144.26"
"3228","Bells Beach","VIC","-38.33","144.26"
"3228","Jan Juc","VIC","-38.33","144.26"
"3228","Torquay","VIC","-38.33","144.26"
"3230","Anglesea","VIC","-38.41","144.19"
"3231","Aireys Inlet","VIC","-38.46","144.11"
